0	0
0	2
0	7
0	18
0	24
0	40
0	69
0	117
0	154
0	190
0	238
0	280
0	337
0	385
0	446
0	534
0	659
0	802
0	998
0	1241
0	1468
0	1761
0	2048
0	2289
0	2554
0	2915
0	3262
0	3588
0	3939
0	4306
0	4636
0	4918
0	5207
0	5541
0	5875
0	6147
0	6479
0	6805
0	7034
0	7326
0	7610
0	7972
0	8322
0	8700
0	9055
0	9406
0	9603
0	9806
0	10143
0	10501
0	10877
0	11205
1	11497
1	11778
1	12105
1	12432
1	12790
1	13120
1	13361
1	13670
1	14048
1	14462
1	14883
1	15193
1	15565
2	16020
2	16413
2	16785
2	17201
2	17536
2	17938
2	18387
3	18713
3	18957
4	19374
4	19802
4	20267
4	20733
5	21241
5	21680
5	22111
5	22560
5	22973
5	23429
5	23796
6	24118
6	24543
6	25104
6	25563
7	25976
7	26453
7	26900
7	27369
9	27882
11	28358
12	28867
13	29343
13	29790
13	30240
13	30751
14	31138
14	31574
14	32019
14	32507
14	32981
14	33513
14	33968
14	34326
14	34777
16	35374
21	35879
22	36394
24	36873
24	37353
25	37827
28	38273
29	38663
32	39302
34	39759
35	40242
36	40784
37	41285
39	41831
43	42318
44	42768
45	43211
45	43615
45	44094
45	44610
45	45077
46	45473
49	46006
50	46461
50	46914
50	47389
51	47862
51	48312
51	48738
51	49213
54	49695
54	50228
58	50753
62	51192
63	51731
64	52260
64	52854
65	53348
66	53880
71	54441
72	54863
74	55406
77	55888
80	56354
82	56885
83	57336
83	57886
86	58372
88	58832
90	59332
92	59784
93	60189
94	60664
94	61125
95	61598
97	62086
98	62610
98	63049
100	63479
100	63896
102	64353
104	64742
107	65237
109	65645
110	66146
110	66655
110	67185
110	67630
111	68124
114	68746
115	69235
118	69815
120	70278
120	70726
120	71227
123	71620
123	72043
129	72513
129	72998
130	73481
133	73960
135	74446
139	75010
139	75525
142	75977
143	76445
146	76927
149	77433
151	77882
153	78401
153	78829
158	79269
164	79732
168	80212
168	80624
168	81062
171	81520
172	82031
172	82494
173	83003
174	83510
176	84097
179	84667
181	85169
184	85673
186	86227
189	86717
204	87376
205	87830
212	88387
220	88885
228	89357
242	89953
250	90440
254	90906
257	91354
260	91753
271	92259
285	92779
299	93272
317	93865
326	94338
331	94747
334	95199
350	95774
366	96290
382	96825
400	97300
416	97757
436	98267
456	98690
481	99213
502	99683
523	100123
541	100680
562	101121
582	101618
608	102132
624	102561
653	103150
683	103688
704	104167
720	104538
743	105105
777	105602
800	106114
829	106596
866	107152
896	107648
932	108191
956	108658
989	109162
1017	109692
1043	110106
1068	110582
1096	111063
1122	111510
1143	111961
1170	112437
1192	112852
1222	113338
1247	113804
1269	114203
1311	114770
1344	115275
1378	115742
1420	116265
1465	116807
1509	117356
1551	117872
1592	118437
1628	118909
1663	119435
1691	119858
1727	120392
1747	120771
1782	121293
1810	121765
1845	122347
1886	122868
1923	123358
1953	123722
1993	124265
2038	124826
2088	125430
2137	125981
2168	126443
2210	126966
2240	127462
2275	127966
2319	128551
