0	1
1	13
3	23
4	30
4	37
6	64
9	101
10	153
11	194
11	238
11	286
14	336
19	393
23	452
32	523
41	589
61	680
66	775
76	865
85	952
101	1071
138	1198
186	1320
253	1443
324	1549
404	1666
475	1773
556	1889
637	2012
715	2171
796	2335
878	2501
964	2661
1054	2788
1135	2946
1220	3075
1292	3187
1371	3334
1442	3448
1527	3580
1605	3756
1676	3925
1756	4113
1843	4287
1923	4448
